fp_index,rf_importance
807,0.04322231357276633
650,0.03750990813631481
656,0.0336502544397953
1928,0.01968410130356226
314,0.016991230597291584
1380,0.013350842353431336
695,0.013291152886407304
1453,0.011771613953272532
694,0.01068277439477131
222,0.010335808468275483
1257,0.010285315517982055
1004,0.01012363225744567
1057,0.008388492911316874
378,0.008264019588230634
1917,0.008165471895742613
926,0.007295323639389448
577,0.0072561581393989095
915,0.0072206899640020975
674,0.006964749832067233
699,0.0065716871447989815
1154,0.00631333208247655
802,0.006156084459263469
1171,0.0059702138147957485
974,0.00596715066064522
1325,0.005290273729928865
841,0.0050303492967093185
1292,0.004989774504054533
1152,0.004947902482251569
1923,0.0049113555836928615
294,0.004819737529099568
